iter	Passed	Remaining
539	339881	289528
540	340443	288842
541	341047	288191
542	341655	287544
543	342238	286876
544	342847	286230
545	343418	285552
546	344023	284904
547	344631	284257
548	345227	283601
549	345793	282921
550	346395	282271
551	347007	281628
552	347608	280978
553	348241	280353
554	348815	279680
555	349411	279026
556	350024	278385
557	350628	277737
558	351183	277052
559	351802	276416
560	352378	275747
561	352955	275079
562	353569	274440
563	354177	273796
564	354828	273186
565	355382	272501
566	355908	271796
567	356509	271148
568	357081	270478
569	357703	269846
570	358348	269232
571	358939	268577
572	359504	267903
573	360065	267226
574	360693	266599
575	361275	265939
576	361863	265283
577	362459	264632
578	363062	263988
579	363673	263349
580	364315	262733
581	364922	262092
582	365521	261444
583	366117	260795
584	366661	260110
585	367258	259462
586	367860	258818
587	368505	258204
588	369197	257623
589	369796	256977
590	370389	256326
591	371031	255710
592	371591	255038
593	372161	254372
594	372754	253723
595	373360	253083
596	373924	252414
597	374461	251728
598	375065	251087
599	375654	250436
600	376199	249756
601	376838	249138
602	377490	248530
603	378142	247921
604	378734	247272
605	379357	246644
606	380036	246053
607	380668	245430
608	381264	244785
609	381923	244180
610	382496	243520
611	383120	242893
612	383713	242246
613	384286	241587
614	384879	240940
615	385491	240306
616	386094	239666
617	386680	239016
618	387301	238387
619	387909	237750
620	388543	237130
621	389181	236512
622	389787	235874
623	390355	235214
624	390942	234565
625	391570	233941
626	392195	233315
627	392821	232690
628	393424	232051
629	393979	231384
630	394545	230724
631	395111	230064
632	395742	229442
633	396390	228831
634	396941	228163
635	397550	227528
636	398147	226887
637	398679	226210
638	399244	225551
639	399807	224891
640	400401	224249
641	400983	223601
642	401529	222932
643	402101	222279
644	402731	221658
645	403305	221006
646	403927	220381
647	404491	219723
648	405156	219121
649	405792	218503
650	406378	217858
651	407055	217262
652	407693	216645
653	408272	215997
654	408877	215362
655	409487	214731
656	410088	214095
657	410623	213424
658	411161	212755
659	411786	212132
660	412399	211502
661	412973	210853
662	413585	210223
663	414194	209592
664	414795	208957
665	415357	208302
666	415942	207659
667	416558	207032
668	417166	206400
669	417771	205768
670	418457	205175
671	419091	204556
672	419719	203934
673	420296	203288
674	420914	202662
675	421470	202006
676	422096	201384
677	422650	200727
678	423252	200094
679	423860	199463
680	424447	198823
681	425009	198171
682	425596	197531
683	426229	196913
684	426849	196288
685	427495	195675
686	428093	195041
687	428693	194407
688	429421	193831
689	430136	193249
690	430912	192694
691	431594	192096
692	432228	191477
693	432801	190831
694	433381	190188
695	433992	189559
696	434599	188929
697	435186	188290
698	435800	187662
699	436313	186991
700	436902	186353
701	437505	185721
702	438102	185087
703	438680	184445
704	439258	183803
705	439830	183158
706	440408	182517
707	441043	181899
708	441609	181253
709	442209	180620
710	442814	179990
711	443407	179355
712	443972	178709
713	444604	178090
714	445243	177474
715	445820	176833
716	446444	176211
717	447100	175602
718	447731	174982
719	448350	174358
720	448967	173733
721	449567	173102
722	450164	172469
723	450732	171826
724	451304	171184
725	451905	170554
726	452519	169928
727	453133	169302
728	453726	168669
729	454323	168037
730	454916	167404
731	455495	166766
732	456076	166128
733	456680	165500
734	457264	164864
735	457830	164221
736	458447	163597
737	459022	162959
738	459610	162325
739	460171	161681
740	460782	161056
741	461378	160425
742	461999	159803
743	462559	159160
744	463167	158533
745	463754	157900
746	464328	157262
747	464882	156618
748	465456	155980
749	466023	155341
750	466573	154696
751	467180	154070
752	467769	153438
753	468383	152814
754	469003	152193
755	469533	151542
756	470153	150921
757	470721	150283
758	471262	149636
759	471863	149009
760	472483	148388
761	473070	147756
762	473666	147128
763	474301	146512
764	474858	145871
765	475431	145236
766	475976	144592
767	476605	143974
768	477214	143350
769	477810	142722
770	478398	142092
771	479004	141467
772	479592	140837
773	480144	140197
774	480757	139574
775	481366	138951
776	481906	138307
777	482498	137679
778	483100	137054
779	483667	136419
780	484294	135800
781	484900	135176
782	485505	134552
783	486117	133930
784	486719	133305
785	487293	132672
786	487919	132054
787	488541	131434
788	489166	130816
789	489717	130178
790	490329	129556
791	490900	128923
792	491498	128297
793	492097	127672
794	492700	127048
795	493305	126425
796	493879	125793
797	494521	125179
798	495079	124544
799	495658	123914
800	496183	123271
801	496714	122630
802	497305	122003
803	497883	121374
804	498485	120751
805	499066	120122
806	499686	119503
807	500220	118864
808	500820	118240
809	501388	117609
810	502006	116990
811	502575	116359
812	503119	115723
813	503735	115104
814	504325	114478
815	504940	113859
816	505524	113232
817	506128	112610
818	506735	111989
819	507322	111363
820	507894	110734
821	508485	110109
822	509101	109490
823	509735	108875
824	510331	108252
825	510929	107629
826	511542	107009
827	512155	106389
828	512728	105761
829	513334	105140
830	513907	104513
831	514530	103895
832	515116	103270
833	515741	102653
834	516343	102031
835	516933	101407
836	517533	100786
837	518156	100168
838	518801	99555
839	519398	98933
840	519962	98304
841	520537	97678
842	521092	97047
843	521730	96433
844	522354	95816
845	522967	95197
846	523545	94572
847	524151	93951
848	524760	93331
849	525365	92711
850	525963	92089
851	526572	91470
852	527129	90841
853	527690	90213
854	528269	89589
855	528864	88967
856	529452	88345
857	530050	87724
858	530663	87105
859	531272	86486
860	531895	85869
861	532468	85244
862	533023	84616
863	533603	83993
864	534219	83375
865	534819	82754
866	535419	82134
867	536030	81516
868	536626	80895
869	537187	80269
870	537734	79641
871	538351	79024
872	538913	78398
873	539513	77778
874	540118	77159
875	540729	76541
876	541312	75919
877	541908	75299
878	542463	74673
879	543052	74052
880	543609	73427
881	544241	72812
882	544850	72194
883	545473	71577
884	546063	70957
885	546693	70342
886	547275	69720
887	547865	69100
888	548418	68475
889	548975	67850
890	549538	67227
891	550129	66607
892	550719	65987
893	551321	65369
894	551935	64752
895	552489	64128
896	553061	63506
897	553660	62887
898	554198	62262
899	554797	61644
900	555395	61025
901	556005	60408
902	556595	59789
903	557228	59174
904	557887	58562
905	558509	57946
906	559158	57333
907	559955	56735
908	560655	56127
909	561295	55512
910	561979	54902
911	562638	54289
912	563298	53676
913	563921	53060
914	564600	52449
915	565203	51830
916	565848	51216
917	566487	50601
918	567151	49988
919	567814	49375
920	568465	48760
921	569119	48146
922	569777	47532
923	570392	46915
924	571056	46301
925	571743	45690
926	572437	45078
927	573093	44464
928	573700	43845
929	574360	43231
930	575049	42619
931	575720	42005
932	576340	41387
933	577026	40774
934	577683	40159
935	578333	39544
936	578919	38924
937	579560	38307
938	580205	37691
939	580879	37077
940	581566	36463
941	582228	35848
942	582907	35234
943	583607	34620
944	584322	34008
945	585029	33394
946	585737	32781
947	586419	32166
948	587137	31553
949	587778	30935
950	588483	30321
951	589199	29707
952	589914	29093
953	590487	28472
954	591131	27854
955	591726	27234
956	592349	26615
957	592956	25996
958	593625	25379
959	594286	24761
960	594887	24142
961	595429	23520
962	596019	22900
963	596605	22279
964	597221	21660
965	597835	21041
966	598446	20422
967	599074	19804
968	599643	19183
969	600263	18564
970	600892	17946
971	601505	17327
972	602091	16707
973	602704	16088
974	603283	15468
975	603911	14850
976	604488	14230
977	605058	13610
978	605683	12992
979	606275	12372
980	606889	11754
981	607464	11134
982	608049	10515
983	608614	9896
984	609185	9276
985	609766	8657
986	610335	8038
987	610887	7419
988	611456	6800
989	612076	6182
990	612685	5564
991	613275	4945
992	613857	4327
993	614448	3708
994	614983	3090
995	615600	2472
996	616214	1854
997	616774	1236
998	617362	617
999	617956	0
